index,paths,label,bbox,width,height,dataset
1760.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_5682.png,0,"[{'id': 0, 'bbox': (73, 107, 291, 291), 'score': [0.9056803584098816], 'center': (218, 252)}]",425,425,LCC_FASD
162.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/72.mp4/output_0001.jpg,1,"[{'id': 0, 'bbox': (155, 664, 785, 785), 'score': [0.8390228152275085], 'center': (547, 1056)}]",1080,1920,liveness-detection-zalo-2022
2867.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/655.mp4/output_0002.jpg,1,"[{'id': 0, 'bbox': (267, 761, 543, 543), 'score': [0.8997690677642822], 'center': (538, 1032)}]",1080,1920,liveness-detection-zalo-2022
2052.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_IIYAMAXB_SMG955U_id83_s0_15.png,0,"[{'id': 0, 'bbox': (107, 122, 330, 330), 'score': [0.9449576139450073], 'center': (272, 287)}]",508,508,LCC_FASD
2640.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1456.mp4/output_0005.jpg,1,"[{'id': 0, 'bbox': (283, 515, 583, 583), 'score': [0.8136267066001892], 'center': (574, 806)}]",1080,1920,liveness-detection-zalo-2022
2815.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_2200.png,0,"[{'id': 0, 'bbox': (110, 147, 366, 366), 'score': [0.8714227080345154], 'center': (293, 330)}]",552,552,LCC_FASD
1726.0,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/23.mp4/output_0003.jpg,1,"[{'id': 0, 'bbox': (202, 668, 647, 647), 'score': [0.9335755109786987], 'center': (525, 991)}]",1080,1920,liveness-detection-zalo-2022
1716.0,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/YOUTUBE_id110_s0_140.png,1,"[{'id': 0, 'bbox': (85, 86, 239, 239), 'score': [0.9306793212890625], 'center': (204, 205)}]",355,355,LCC_FASD
415.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1608.mp4/output_0002.jpg,1,"[{'id': 0, 'bbox': (312, 897, 456, 456), 'score': [0.8358749747276306], 'center': (540, 1125)}]",1080,1920,liveness-detection-zalo-2022
2643.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_MSIGS60_SGJ5_id50_s0_107.png,0,"[{'id': 0, 'bbox': (97, 146, 492, 492), 'score': [0.8578895330429077], 'center': (343, 392)}]",726,726,LCC_FASD
297.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_2671.png,0,"[{'id': 0, 'bbox': (64, 121, 352, 352), 'score': [0.8530985713005066], 'center': (240, 297)}]",485,485,LCC_FASD
20.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/681.mp4/output_0001.jpg,1,"[{'id': 0, 'bbox': (175, 286, 234, 234), 'score': [0.7780998945236206], 'center': (292, 403)}]",480,852,liveness-detection-zalo-2022
2318.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_MBP1314_IPHONE8B_id44_s0_15.png,0,"[{'id': 0, 'bbox': (126, 136, 368, 368), 'score': [0.9367400407791138], 'center': (310, 320)}]",603,603,LCC_FASD
1038.0,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/YOUTUBE_id98_s0_30.png,1,"[{'id': 0, 'bbox': (81, 122, 310, 310), 'score': [0.8876263499259949], 'center': (236, 277)}]",485,485,LCC_FASD
191.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_IIYAMAXB_IPHONE7F_id18_s0_30.png,0,"[{'id': 0, 'bbox': (101, 159, 454, 454), 'score': [0.8900904059410095], 'center': (328, 386)}]",651,651,LCC_FASD
462.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_IIYAMAXU_MOTOMC_S0_id30_s0_135.png,0,"[{'id': 0, 'bbox': (85, 131, 326, 326), 'score': [0.884287416934967], 'center': (248, 294)}]",524,524,LCC_FASD
1950.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1241.mp4/output_0002.jpg,0,"[{'id': 0, 'bbox': (61, 284, 338, 338), 'score': [0.8174403309822083], 'center': (230, 453)}]",480,852,liveness-detection-zalo-2022
1918.0,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/31.mp4/output_0015.jpg,1,"[{'id': 0, 'bbox': (249, 852, 746, 746), 'score': [0.9370181560516357], 'center': (622, 1225)}]",1080,2400,liveness-detection-zalo-2022
1637.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/272.mp4/output_0004.jpg,1,"[{'id': 0, 'bbox': (69, 307, 189, 189), 'score': [0.8029959201812744], 'center': (163, 401)}]",368,656,liveness-detection-zalo-2022
1059.0,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/YOUTUBE_id99_s1_60.png,1,"[{'id': 0, 'bbox': (45, 75, 268, 268), 'score': [0.8916570544242859], 'center': (179, 209)}]",362,362,LCC_FASD
162.0,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/attack/frames/13.mp4/output_0017.jpg,0,"[{'id': 0, 'bbox': (157, 469, 904, 903), 'score': [0.9311730861663818], 'center': (609, 920)}]",1080,1920,liveness-detection-zalo-2022
1186.0,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/attack/frames/51.mp4/output_0021.jpg,0,"[{'id': 0, 'bbox': (120, 171, 293, 293), 'score': [0.8472944498062134], 'center': (266, 317)}]",480,640,liveness-detection-zalo-2022
1066.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/990.mp4/output_0004.jpg,1,"[{'id': 0, 'bbox': (481, 314, 355, 355), 'score': [0.8806658387184143], 'center': (658, 491)}]",1080,1920,liveness-detection-zalo-2022
2312.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_LG58020157_LA319_id33_s1_30.png,0,"[{'id': 0, 'bbox': (54, 80, 201, 201), 'score': [0.8993893265724182], 'center': (154, 180)}]",311,311,LCC_FASD
2671.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_2056.png,0,"[{'id': 0, 'bbox': (24, 44, 135, 135), 'score': [0.8586085438728333], 'center': (91, 111)}]",189,189,LCC_FASD
290.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/FT720P_I2269VWM_DOOX30_id8_s0_30.png,0,"[{'id': 0, 'bbox': (29, 57, 205, 205), 'score': [0.8777551651000977], 'center': (131, 159)}]",257,257,LCC_FASD
416.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_3546.png,0,"[{'id': 0, 'bbox': (124, 252, 548, 548), 'score': [0.8295440077781677], 'center': (398, 526)}]",926,926,LCC_FASD
2347.0,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/5.mp4/output_0007.jpg,1,"[{'id': 0, 'bbox': (-86, 718, 518, 518), 'score': [0.715326726436615], 'center': (173, 977)}]",1080,1920,liveness-detection-zalo-2022
243.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_5207.png,0,"[{'id': 0, 'bbox': (47, 62, 157, 157), 'score': [0.8030332922935486], 'center': (125, 140)}]",240,240,LCC_FASD
1566.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/256.mp4/output_0003.jpg,1,"[{'id': 0, 'bbox': (239, 933, 529, 529), 'score': [0.8114641308784485], 'center': (503, 1197)}]",1080,1920,liveness-detection-zalo-2022
2326.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1361.mp4/output_0005.jpg,0,"[{'id': 0, 'bbox': (196, 363, 596, 596), 'score': [0.8633756637573242], 'center': (494, 661)}]",1080,1920,liveness-detection-zalo-2022
404.0,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/YOUTUBE_id36_s0_60.png,1,"[{'id': 0, 'bbox': (106, 127, 297, 297), 'score': [0.9054439663887024], 'center': (254, 275)}]",504,504,LCC_FASD
1750.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/309.mp4/output_0003.jpg,1,"[{'id': 0, 'bbox': (205, 770, 737, 737), 'score': [0.8728426694869995], 'center': (573, 1138)}]",1080,1920,liveness-detection-zalo-2022
2690.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_4711.png,0,"[{'id': 0, 'bbox': (88, 91, 236, 236), 'score': [0.9094431400299072], 'center': (206, 209)}]",395,395,LCC_FASD
185.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_2560.png,0,"[{'id': 0, 'bbox': (111, 176, 574, 574), 'score': [0.8901031613349915], 'center': (398, 463)}]",787,787,LCC_FASD
2199.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_6083.png,0,"[{'id': 0, 'bbox': (91, 127, 298, 298), 'score': [0.9221634268760681], 'center': (240, 276)}]",532,532,LCC_FASD
157.0,kaggle_datasets/antispoofing-replay-dataset/frames/0001ffba3c--628ce0878d34a916af69632c/output_0004.jpg,0,"[{'id': 0, 'bbox': (250, 614, 476, 476), 'score': [0.9483124613761902], 'center': (488, 852)}]",1080,1920,antispoofing-replay-dataset
1857.0,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/29.mp4/output_0006.jpg,1,"[{'id': 0, 'bbox': (163, 882, 802, 802), 'score': [0.9370378255844116], 'center': (564, 1283)}]",1080,1920,liveness-detection-zalo-2022
2257.0,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/47.mp4/output_0014.jpg,1,"[{'id': 0, 'bbox': (443, 751, 425, 425), 'score': [0.9058563709259033], 'center': (655, 963)}]",1080,1920,liveness-detection-zalo-2022
2580.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/561.mp4/output_0005.jpg,0,"[{'id': 0, 'bbox': (143, 684, 762, 762), 'score': [0.8372638821601868], 'center': (524, 1065)}]",1080,1920,liveness-detection-zalo-2022
634.0,kaggle_datasets/replay-attack-mobile-dataset-ibeta-1/frames/20241126_030745.mp4/output_0007.jpg,0,"[{'id': 0, 'bbox': (121, 1301, 2377, 2377), 'score': [0.8955764174461365], 'center': (1309, 2489)}]",2160,3840,replay-attack-mobile-dataset-ibeta-1
120.0,kaggle_datasets/macbook-attacks/attacks/frames/3.MOV/output_0013.jpg,0,"[{'id': 0, 'bbox': (94, 727, 965, 965), 'score': [0.9298163652420044], 'center': (576, 1209)}]",1080,1920,macbook-attacks
1853.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_IIYAMAXB_SMG955U_id62_s0_90.png,0,"[{'id': 0, 'bbox': (171, 209, 528, 528), 'score': [0.9008949995040894], 'center': (435, 473)}]",842,842,LCC_FASD
2293.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1351.mp4/output_0005.jpg,1,"[{'id': 0, 'bbox': (233, 847, 703, 703), 'score': [0.7988017797470093], 'center': (584, 1198)}]",1080,1920,liveness-detection-zalo-2022
580.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/836.mp4/output_0005.jpg,1,"[{'id': 0, 'bbox': (235, 513, 692, 692), 'score': [0.8649078607559204], 'center': (581, 859)}]",1080,1920,liveness-detection-zalo-2022
2009.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_IIYAMAXB_SMG955U_id79_s0_45.png,0,"[{'id': 0, 'bbox': (122, 145, 383, 383), 'score': [0.907625138759613], 'center': (313, 336)}]",624,624,LCC_FASD
390.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_3522.png,0,"[{'id': 0, 'bbox': (146, 176, 436, 436), 'score': [0.9212973117828369], 'center': (364, 394)}]",761,761,LCC_FASD
758.0,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/YOUTUBE_id68_s0_135.png,1,"[{'id': 0, 'bbox': (117, 142, 425, 425), 'score': [0.9172919392585754], 'center': (329, 354)}]",654,654,LCC_FASD
889.0,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/attack/frames/42.mp4/output_0012.jpg,0,"[{'id': 0, 'bbox': (110, 228, 229, 229), 'score': [0.9489346742630005], 'center': (224, 342)}]",480,640,liveness-detection-zalo-2022
928.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/943.mp4/output_0002.jpg,0,"[{'id': 0, 'bbox': (357, 606, 446, 446), 'score': [0.864721417427063], 'center': (580, 829)}]",1080,1920,liveness-detection-zalo-2022
1426.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_5379.png,0,"[{'id': 0, 'bbox': (41, 76, 180, 180), 'score': [0.8911919593811035], 'center': (131, 166)}]",270,270,LCC_FASD
1486.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_IIYAMAXB_SMG955U_id31_s0_15.png,0,"[{'id': 0, 'bbox': (90, 135, 324, 324), 'score': [0.8491976857185364], 'center': (252, 297)}]",493,493,LCC_FASD
2937.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_494.png,0,"[{'id': 0, 'bbox': (112, 146, 329, 329), 'score': [0.9250826835632324], 'center': (276, 310)}]",517,517,LCC_FASD
706.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/87.mp4/output_0001.jpg,1,"[{'id': 0, 'bbox': (10, 292, 500, 500), 'score': [0.8299195766448975], 'center': (260, 542)}]",720,960,liveness-detection-zalo-2022
1632.0,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/YOUTUBE_id101_s0_60.png,1,"[{'id': 0, 'bbox': (43, 109, 328, 328), 'score': [0.9194158911705017], 'center': (207, 273)}]",430,430,LCC_FASD
14.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/678.mp4/output_0005.jpg,1,"[{'id': 0, 'bbox': (157, 326, 431, 431), 'score': [0.7463938593864441], 'center': (372, 541)}]",750,1000,liveness-detection-zalo-2022
2698.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_P226VLSB00_HONOR4CCHMU01_id47_s1_78.png,0,"[{'id': 0, 'bbox': (145, 214, 493, 493), 'score': [0.9132973551750183], 'center': (391, 460)}]",820,820,LCC_FASD
1403.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_5357.png,0,"[{'id': 0, 'bbox': (43, 50, 132, 132), 'score': [0.9036561846733093], 'center': (109, 116)}]",203,203,LCC_FASD
1659.0,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/YOUTUBE_id104_s0_15.png,1,"[{'id': 0, 'bbox': (53, 128, 404, 404), 'score': [0.9113062620162964], 'center': (255, 330)}]",517,517,LCC_FASD
99.0,kaggle_datasets/replay-attack-mobile-dataset-ibeta-1/frames/PXL_20230324_183641131.mp4/output_0018.jpg,0,"[{'id': 0, 'bbox': (-262, 1365, 2522, 2522), 'score': [0.7073488235473633], 'center': (999, 2626)}]",2160,3840,replay-attack-mobile-dataset-ibeta-1
2451.0,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/53.mp4/output_0018.jpg,1,"[{'id': 0, 'bbox': (246, 593, 797, 796), 'score': [0.9600158333778381], 'center': (644, 991)}]",1080,1920,liveness-detection-zalo-2022
545.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_AEEX2511G323A_IPHONE6SF_id47_s0_60.png,0,"[{'id': 0, 'bbox': (62, 149, 476, 476), 'score': [0.8842326402664185], 'center': (300, 387)}]",676,676,LCC_FASD
503.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/815.mp4/output_0003.jpg,1,"[{'id': 0, 'bbox': (224, 501, 423, 423), 'score': [0.8586131930351257], 'center': (435, 712)}]",1080,1920,liveness-detection-zalo-2022
3051.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_SSM23B300_REDMIN4X_id57_s1_15.png,0,"[{'id': 0, 'bbox': (104, 119, 415, 415), 'score': [0.9496572017669678], 'center': (311, 326)}]",649,649,LCC_FASD
760.0,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/YOUTUBE_id68_s0_150.png,1,"[{'id': 0, 'bbox': (110, 141, 425, 425), 'score': [0.8979517817497253], 'center': (322, 353)}]",627,627,LCC_FASD
1857.0,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/YOUTUBE_id25_s0_120.png,1,"[{'id': 0, 'bbox': (59, 120, 342, 342), 'score': [0.9308848977088928], 'center': (230, 291)}]",490,490,LCC_FASD
908.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_3995.png,0,"[{'id': 0, 'bbox': (30, 38, 194, 194), 'score': [0.9181597828865051], 'center': (127, 135)}]",240,240,LCC_FASD
405.0,kaggle_datasets/replay-attack-mobile-dataset-ibeta-1/frames/20241126_024942.mp4/output_0001.jpg,0,"[{'id': 0, 'bbox': (-262, 966, 2742, 2742), 'score': [0.8960843682289124], 'center': (1109, 2337)}]",2160,3840,replay-attack-mobile-dataset-ibeta-1
1253.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1863.mp4/output_0003.jpg,1,"[{'id': 0, 'bbox': (87, 245, 335, 335), 'score': [0.8519890904426575], 'center': (254, 412)}]",480,852,liveness-detection-zalo-2022
1275.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1051.mp4/output_0001.jpg,1,"[{'id': 0, 'bbox': (132, 302, 882, 882), 'score': [0.8746919631958008], 'center': (573, 743)}]",1080,1920,liveness-detection-zalo-2022
166.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_IIYAMAGB_WIZARD1_id18_s0_90.png,0,"[{'id': 0, 'bbox': (93, 143, 385, 385), 'score': [0.9000346064567566], 'center': (285, 335)}]",579,579,LCC_FASD
1720.0,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/22.mp4/output_0007.jpg,1,"[{'id': 0, 'bbox': (105, 156, 136, 136), 'score': [0.9539696574211121], 'center': (173, 224)}]",360,480,liveness-detection-zalo-2022
818.0,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/attack/frames/39.mp4/output_0014.jpg,0,"[{'id': 0, 'bbox': (5, 132, 303, 303), 'score': [0.8400993347167969], 'center': (156, 283)}]",480,720,liveness-detection-zalo-2022
495.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1633.mp4/output_0002.jpg,1,"[{'id': 0, 'bbox': (512, 382, 263, 263), 'score': [0.7922579646110535], 'center': (643, 513)}]",1280,720,liveness-detection-zalo-2022
1956.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1242.mp4/output_0003.jpg,1,"[{'id': 0, 'bbox': (112, 275, 245, 245), 'score': [0.901923656463623], 'center': (234, 397)}]",480,854,liveness-detection-zalo-2022
2875.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_2260.png,0,"[{'id': 0, 'bbox': (50, 56, 181, 181), 'score': [0.8040544390678406], 'center': (140, 146)}]",269,269,LCC_FASD
1276.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1051.mp4/output_0002.jpg,1,"[{'id': 0, 'bbox': (103, 288, 886, 886), 'score': [0.8568270802497864], 'center': (546, 731)}]",1080,1920,liveness-detection-zalo-2022
109.0,kaggle_datasets/replay-attack-mobile-dataset-ibeta-1/frames/PXL_20230324_183710252.mp4/output_0003.jpg,0,"[{'id': 0, 'bbox': (-114, 1181, 2431, 2431), 'score': [0.9216234087944031], 'center': (1101, 2396)}]",2160,3840,replay-attack-mobile-dataset-ibeta-1
2705.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_PBLS11HR_HONOR9L_id33_s0_216.png,0,"[{'id': 0, 'bbox': (106, 141, 327, 327), 'score': [0.9329590201377869], 'center': (269, 304)}]",545,545,LCC_FASD
2165.0,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/43.mp4/output_0016.jpg,1,"[{'id': 0, 'bbox': (164, 762, 620, 620), 'score': [0.9391716718673706], 'center': (474, 1072)}]",1080,1920,liveness-detection-zalo-2022
964.0,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/YOUTUBE_id90_s0_150.png,1,"[{'id': 0, 'bbox': (129, 184, 469, 469), 'score': [0.9009384512901306], 'center': (363, 418)}]",721,721,LCC_FASD
849.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/912.mp4/output_0002.jpg,1,"[{'id': 0, 'bbox': (166, 737, 655, 655), 'score': [0.7651227116584778], 'center': (493, 1064)}]",988,1758,liveness-detection-zalo-2022
421.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/FT720P_SSM2433_S4508_id8_s0_135.png,0,"[{'id': 0, 'bbox': (23, 46, 180, 180), 'score': [0.9013526439666748], 'center': (113, 136)}]",222,222,LCC_FASD
983.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_6792.png,0,"[{'id': 0, 'bbox': (22, 26, 100, 100), 'score': [0.7926965355873108], 'center': (72, 76)}]",135,135,LCC_FASD
29.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_934.png,0,"[{'id': 0, 'bbox': (80, 107, 272, 272), 'score': [0.8665405511856079], 'center': (216, 243)}]",413,413,LCC_FASD
1916.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_3090.png,0,"[{'id': 0, 'bbox': (44, 38, 129, 129), 'score': [0.7946056127548218], 'center': (108, 102)}]",186,186,LCC_FASD
387.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1602.mp4/output_0003.jpg,1,"[{'id': 0, 'bbox': (161, 342, 355, 355), 'score': [0.8783046007156372], 'center': (338, 519)}]",720,1280,liveness-detection-zalo-2022
58.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_2435.png,0,"[{'id': 0, 'bbox': (103, 118, 297, 297), 'score': [0.9164689779281616], 'center': (251, 266)}]",482,482,LCC_FASD
1312.0,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/real_32.png,1,"[{'id': 0, 'bbox': (122, 146, 422, 422), 'score': [0.925541877746582], 'center': (333, 357)}]",666,666,LCC_FASD
1577.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_2750.png,0,"[{'id': 0, 'bbox': (90, 150, 429, 429), 'score': [0.9079758524894714], 'center': (304, 364)}]",668,668,LCC_FASD
841.0,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/YOUTUBE_id76_s0_30.png,1,"[{'id': 0, 'bbox': (78, 91, 218, 218), 'score': [0.9011266827583313], 'center': (187, 200)}]",373,373,LCC_FASD
2191.0,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/44.mp4/output_0015.jpg,1,"[{'id': 0, 'bbox': (118, 156, 133, 133), 'score': [0.9477346539497375], 'center': (184, 222)}]",360,480,liveness-detection-zalo-2022
1774.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/FT720P_MBP1314_IPHONE7B_id2_s0_30.png,0,"[{'id': 0, 'bbox': (167, 192, 509, 509), 'score': [0.9417752623558044], 'center': (421, 446)}]",813,813,LCC_FASD
1546.0,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/15.mp4/output_0009.jpg,1,"[{'id': 0, 'bbox': (184, 747, 591, 591), 'score': [0.951063334941864], 'center': (479, 1042)}]",1080,1920,liveness-detection-zalo-2022
397.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/791.mp4/output_0002.jpg,1,"[{'id': 0, 'bbox': (66, 208, 390, 390), 'score': [0.8949191570281982], 'center': (261, 403)}]",480,854,liveness-detection-zalo-2022
